Stock Code,Real Time Available Volume for SBL Short Sales,Last Modify,
"證券代號 TT","可借券賣出股數"
"2885 TT","5,119,270"
"8418 TT","10,856"
"2886 TT","4,745,947"
"8420 TT","7,052"
"2887 TT","6,579,679"
"8421 TT","21,385"
"2888 TT","10,137,332"
"8424 TT","14,004"
"2889 TT","1,056,501"
"8426 TT","8,193"
"2890 TT","3,957,775"
"8431 TT","44,701"
"2891 TT","7,784,704"
"8432 TT","13,557"
"2892 TT","8,593,680"
"8433 TT","50,673"
"2897 TT","362,892"
"8435 TT","34,747"
"2901 TT","7,032"
"8436 TT","266,645"
"2903 TT","495,035"
"8437 TT","10,622"
"2904 TT","21,457"
"8444 TT","10,330"
"2905 TT","298,231"
"8446 TT","34,768"
"2906 TT","49,347"
"8450 TT","22,021"
"2908 TT","247,130"
"8462 TT","93,800"
"2910 TT","3,123"
"8489 TT","63,610"
"2911 TT","100,174"
"8905 TT","97,180"
"2912 TT","698,443"
"8908 TT","2,064"
"2913 TT","340,944"
"8916 TT","158,612"
"2915 TT","1,028,557"
"8917 TT","509"
"2923 TT","12,707"
"8923 TT","1,854"
"2929 TT","154,424"
"8924 TT","545,549"
"2936 TT","25,307"
"8927 TT","81,830"
"3002 TT","164,348"
"8928 TT","58,524"
"3003 TT","615,764"
"8929 TT","519,215"
"3004 TT","114,825"
"8930 TT","46,244"
"3005 TT","1,451,316"
"8931 TT","9,477"
"3006 TT","2,050,728"
"8933 TT","205,715"
"3008 TT","120,266"
"8936 TT","302,538"
"3010 TT","104,199"
"8937 TT","33,026"
"3011 TT","79,091"
"8938 TT","392,185"
"3013 TT","194,469"
"8941 TT","11,004"
"3014 TT","136,938"
"8942 TT","114,396"
"3015 TT","75,460"
