Stock Code,Real Time Available Volume for SBL Short Sales,Last Modify,
"2636" TT,"254562","13:24:56.04"
"2637" TT,"172950","13:29:26.90"
"2640" TT,"78964",""
"2641" TT,"255839",""
"2642" TT,"227669",""
"2701" TT,"24597",""
"2702" TT,"4672",""
"2704" TT,"21547","13:23:52.61"
"2705" TT,"83666","13:23:48.98"
"2706" TT,"36910","13:23:39.21"
"2707" TT,"72124","10:24:52.25"
"2712" TT,"1419",""
"2719" TT,"0",""
"2722" TT,"3217",""
"2723" TT,"89469","13:28:58.06"
"2726" TT,"60478",""
"2727" TT,"133503","13:28:56.74"
"2731" TT,"85766",""
"2732" TT,"40984",""
"2734" TT,"110737",""
"2736" TT,"4583",""
"2739" TT,"58821",""
"2748" TT,"93785",""
"2801" TT,"2114192","13:24:39.40"
"2809" TT,"320051","13:24:40.46"
"2812" TT,"2108775","13:29:16.59"
"2816" TT,"65272","13:24:01.82"
"2820" TT,"322742","13:29:13.88"
"2823" TT,"3108846","13:23:41.58"
"2832" TT,"48569","13:23:35.73"
"2834" TT,"2757201","13:29:25.21"
"2836" TT,"218375","13:29:23.67"
"2838" TT,"328090","13:23:58.25"
"2841" TT,"330460","13:29:03.17"
"2845" TT,"1366588","13:29:03.86"
"2849" TT,"14029","13:12:33.17"
"2850" TT,"45887",""
"2851" TT,"38805","13:23:54.10"
"2852" TT,"116145",""
"2855" TT,"192287","13:23:58.06"
"2856" TT,"197236","13:24:08.19"
"2867" TT,"719225","09:01:19.84"
"2880" TT,"3868849","13:25:35.99"
"2881" TT,"3381019","13:32:50.01"
"2882" TT,"2399792","13:12:56.91"
"2883" TT,"9964532","13:29:24.68"
"2884" TT,"8215184","13:29:11.81"
"2885" TT,"4210789","13:32:52.71"
"2886" TT,"4243686","13:29:23.71"
"2887" TT,"5603085","13:32:53.73"
"2888" TT,"8311566","13:29:11.39"
"2889" TT,"1067416",""
"2890" TT,"3548309","13:29:12.50"
"2891" TT,"7674367","13:32:52.00"
"2892" TT,"8350565","13:29:11.88"
"2897" TT,"441786",""
"2901" TT,"6862",""
"2903" TT,"439940","13:29:21.88"
"2904" TT,"22030",""
"2905" TT,"267675","13:29:05.84"
"2906" TT,"49558",""
"2908" TT,"250563","13:28:58.78"
"2910" TT,"3132",""
"2911" TT,"94578","13:23:49.82"
"2912" TT,"605181","13:32:53.59"
"2913" TT,"303952","13:29:09.99"
"2915" TT,"841597","13:29:15.31"
"2916" TT,"4021",""
"2923" TT,"12585",""
"2924" TT,"46959",""
"2926" TT,"8692",""
"2928" TT,"57264",""
"2929" TT,"133285","13:24:19.22"
"2936" TT,"25857",""
"3002" TT,"163266",""
"3003" TT,"636935","13:25:00.57"
"3004" TT,"113936",""
"3005" TT,"1444017","13:25:40.43"
"3006" TT,"831566","13:29:25.29"
"3008" TT,"97569","13:29:59.73"
"3010" TT,"91386","13:25:00.61"
"3011" TT,"78505",""
"3013" TT,"177380","13:25:00.62"
"3014" TT,"131790","13:29:18.15"
"3015" TT,"70217","13:23:56.06"
"3016" TT,"627601","13:29:22.85"
"3017" TT,"741263","13:24:21.53"
"3018" TT,"343890",""
"3019" TT,"7463530","12:54:31.14"
"3021" TT,"61187",""
"3022" TT,"314062","13:24:51.86"
"3023" TT,"302255","13:29:04.82"
"3024" TT,"228735",""
"3025" TT,"216650",""
"3026" TT,"143222",""
"3027" TT,"62987","09:27:23.35"
"3028" TT,"83911","13:29:09.90"
"3029" TT,"679847","13:24:54.35"
"3030" TT,"121079","13:24:31.27"
"3031" TT,"497341","13:29:29.65"
"3032" TT,"181152","13:27:56.63"
"3033" TT,"99023","13:25:00.70"
"3034" TT,"282103","13:29:24.03"
"3035" TT,"1607855","13:24:51.29"
"3036" TT,"827898","13:24:42.11"
"3037" TT,"2894616","13:25:06.43"
"3038" TT,"76089",""
"3040" TT,"57078",""
"3041" TT,"2886508","13:29:22.94"
